step;status;x_1;x_2;res

0;success;0.5106688806270117;-0.7275884301368509;-0.21691954950983927
1;success;0.5106688955281729;-0.7275884301368509;-0.21691953460867808
2;success;0.5106688806270117;-0.7275884152356897;-0.21691953460867808
3;success;-0.48933111937298834;-1.727588430136851;-2.2169195495098393

4;success;-0.48933110447182715;-1.727588430136851;-2.216919534608678

5;success;-0.48933111937298834;-1.7275884152356897;-2.216919534608678

6;success;-2.0;-1.9999999999999993;-3.999999999999999

7;success;-1.9999999850988388;-1.9999999999999993;-3.999999985098838

8;success;-2.0;-1.9999999850988381;-3.999999985098838

